,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45,MEANSHR,MEANGAM,TOTBSQ,TOTFZ,EPSZ,FLARE_CLASS
9150,351.13,2.49792e+22,8500895000000.0,34.464,1177767000000.0,5.723804e+21,345.683075,1878.646,0.0,7.251,25.952,29.673,6648000000,-701.65,-0.2002,No Flares
9151,35.663,1.200495e+21,627463600000.0,7.454,367427100000.0,3.240768e+20,62.645084,1978.024,0.0,1.532,18.792,31.45,490040000,-62.433,-0.2417,No Flares
9152,295.142,2.196115e+22,7334298000000.0,29.431,918349500000.0,6.03998e+21,228.716217,1506.601,0.0,3.945,24.453,27.347,7682800000,-1240.0,-0.3061,No Flares
9153,15.302,4.210355e+20,329256400000.0,0.597,121455700000.0,1.340498e+20,26.77169,1460.987,0.0,3.687,18.119,31.112,290200000,-25.649,-0.1677,No Flares
9154,244.772,1.710372e+22,6168671000000.0,19.368,1232385000000.0,6.604042e+21,134.068756,1066.662,0.0,0.497,21.406,24.063,8443900000,-1980.8,-0.445,No Flares
9155,9.841,4.421237e+20,252487600000.0,0.498,36081260000.0,1.315963e+20,17.022051,1404.698,0.0,2.532,21.924,30.688,372370000,20.606,0.105,No Flares
9156,149.459,1.355671e+22,2345977000000.0,36.184,819123100000.0,1.226165e+21,64.766365,6262.588,0.0,18.896,32.778,49.347,1506700000,-180.42,-0.2271,No Flares
9157,89.261,6.457632e+21,1640248000000.0,3.269,844958800000.0,9.181018e+20,68.189224,3653.277,2.356,10.443,26.75,43.214,1126200000,-132.43,-0.2231,No Flares
9158,102.687,6.710236e+21,2295783000000.0,4.944,702359100000.0,1.206249e+21,90.903442,2476.824,2.816,15.441,29.465,37.7,1294100000,-162.96,-0.2389,No Flares
9159,65.045,4.361634e+21,1505997000000.0,13.31,698215300000.0,9.687277e+20,41.321735,1909.449,2.867,8.14,26.365,31.669,1135300000,-138.43,-0.2313,No Flares
9160,912.778,1.694248e+23,16469570000000.0,46.042,2522796000000.0,1.655365e+22,359.226654,5239.422,3.875,18.748,29.262,36.945,15778000000,-3464.4,-0.4165,C
9161,31.871,1.618648e+21,640337600000.0,2.662,333785200000.0,6.409574e+20,19.011126,1246.237,0.0,0.102,18.938,22.945,1057600000,-200.25,-0.3592,No Flares
9162,904.901,1.579909e+23,17314250000000.0,176.203,7775289000000.0,1.6134e+22,352.778168,4795.624,4.088,17.322,29.003,35.131,14429000000,-3026.8,-0.3979,C
9163,657.224,1.159498e+23,14430160000000.0,103.232,3622588000000.0,1.197926e+22,326.921387,4225.362,3.775,20.147,32.349,37.713,11003000000,-2026.2,-0.3493,C
9164,503.134,9.243958e+22,11939750000000.0,79.904,3324176000000.0,8.115259e+21,337.37796,4743.477,3.371,26.332,35.396,41.063,7978200000,-1027.1,-0.2442,C
9165,857.275,9.281156e+22,15617140000000.0,131.117,7843655000000.0,1.019672e+22,343.433563,4819.051,4.368,20.039,31.232,38.108,15214000000,-2910.4,-0.3629,C
9166,319.284,6.464909e+22,7083027000000.0,58.637,3734563000000.0,4.69541e+21,309.851776,6262.694,2.949,28.856,35.819,43.865,5814500000,-581.8,-0.1898,C
